SITE_ID,General classification,State,Data source/network,Period of record,Energy balance,Latitude,Longitude,Elevation (m),Land cover details,Land cover type,Measurement technique,Contact for sites not downloaded from AmeriFlux network,Contact email,DOI,Team member,Member role,Member institution,Member email,Site name
US-Ro5,Croplands,MN,AmeriFlux,03/2017-12/2017,0.774874465430292,44.691,-93.0576,283.0,Corn/soy rotation,Annual crops,Eddy covariance,,,10.17190/AMF/1419508,John Baker,PI,USDA-ARS,john.baker@ars.usda.gov,Rosemount I18_South
US-Ro2,Croplands,MN,AmeriFlux,01/2016-12/2016,0.758445112224195,44.7288,-93.0888,292.0,Corn-Soybean-Kura Clover annual rotation,Annual crops,Eddy covariance,,,10.17190/AMF/1418683,John Baker,PI,USDA-ARS,john.baker@ars.usda.gov,Rosemount- C7
US-Ro3,Croplands,MN,AmeriFlux,07/2004-12/2007,0.858333535853552,44.7217,-93.0893,260.0,"Corn-Soybean annual rotation (corn: 2003, 2005, 2007, 2009, 2011, 2013 soybean: 2004, 2006, 2008, 2010, 2012, 2014)",Annual crops,Eddy covariance,,,10.17190/AMF/1246093,John Baker,PI,USDA-ARS,John.Baker@ARS.USDA.GOV,Rosemount- G19
RIP760,Croplands,CA,USDA-ARS GRAPEX,05/2017-11/2018,0.881054403049909,36.839,-120.21,57.0,Vineyard,Vineyards,Eddy covariance,William Kustas,bill.kustas@usda.gov,,,,,,
US-KLS,Croplands,KS,AmeriFlux,12/2014-12/2016,0.779878090305757,38.7745,-97.5684,373.0,Wheatgrass,Annual crops,Eddy covariance,,,10.17190/AMF/1498745,Nathaniel Brunsell,PI,Kansas University,brunsell@ku.edu,Kansas Land Institute
Almond_Med,Croplands,CA,USDA-ARS,09/2016-10/2019,0.816041782368986,36.177669,-120.202644999999,147.0,Almond,Orchards,Eddy covariance,Ray Anderson,ray.anderson@usda.gov,,,,,,
US-Bi1,Croplands,CA,AmeriFlux,08/2016-12/2019,0.781100659449987,38.0991537999999,-121.49933,-2.7,Alfalfa,Annual crops,Eddy covariance,,,10.17190/AMF/1480317,Dennis Baldocchi,PI,"University of California, Berkeley",Baldocchi@berkeley.edu,Bouldin Island Alfalfa
US-Br3,Croplands,IA,AmeriFlux,01/2005-11/2011,0.81109377851612,41.97472,-93.69357,313.0,Corn and soy rotation,Annual crops,Eddy covariance,,,10.17190/AMF/1246039,John Prueger,PI,National Laboratory for Agriculture and the Environment,john.prueger@ars.usda.gov,Brooks Field Site 11- Ames
US-Twt,Croplands,CA,AmeriFlux,04/2009-04/2017,0.896225619205752,38.1087203999999,-121.6531,-7.0,Rice,Annual crops,Eddy covariance,,,10.17190/AMF/1246140,Dennis Baldocchi,PI,"University of California, Berkeley",baldocchi@berkeley.edu,Twitchell Island
US-Br1,Croplands,IA,AmeriFlux,04/2005-11/2011,0.809648677235685,41.9749,-93.6906,313.0,Corn and soy rotation,Annual crops,Eddy covariance,,,10.17190/AMF/1246038,John Prueger,PI,National Laboratory for Agriculture and the Environment,john.prueger@ars.usda.gov,Brooks Field Site 10- Ames
